date,symbol,marketcapname,sector
23-03-2023,CAREERP,Smallcap,Services
24-03-2023,CAREERP,Smallcap,Services
27-03-2023,CAREERP,Smallcap,Services
28-03-2023,CAREERP,Smallcap,Services
03-04-2023,GLENMARK,Largecap,Pharmaceuticals
10-04-2023,GET&D,Midcap,FMCG
11-04-2023,GET&D,Midcap,FMCG
12-04-2023,GET&D,Midcap,FMCG
13-04-2023,GET&D,Midcap,FMCG
17-04-2023,GET&D,Midcap,FMCG
19-04-2023,GET&D,Midcap,FMCG
27-04-2023,GET&D,Midcap,FMCG
27-04-2023,GLENMARK,Largecap,Pharmaceuticals
28-04-2023,GET&D,Midcap,FMCG
28-04-2023,GLENMARK,Largecap,Pharmaceuticals
13-06-2023,UJJIVAN,Midcap,Finance
16-06-2023,EXIDEIND,Largecap,Auto
20-06-2023,EXIDEIND,Largecap,Auto
21-06-2023,EXIDEIND,Largecap,Auto
22-06-2023,EXIDEIND,Largecap,Auto
23-06-2023,EXIDEIND,Largecap,Auto
26-06-2023,EXIDEIND,Largecap,Auto
01-08-2023,PARAGMILK,Smallcap,FMCG
