date,symbol,marketcapname,sector
19-12-2022,TATACOMM,Largecap,Telecom
19-12-2022,TATACONSUM,Largecap,FMCG
19-12-2022,COLPAL,Largecap,FMCG
19-12-2022,EICHERMOT,Largecap,Auto
19-12-2022,MARICO,Largecap,FMCG
19-12-2022,TVSMOTOR,Largecap,Auto
19-12-2022,BHARTIARTL,Largecap,Telecom
19-12-2022,IGL,Largecap,Industrials
19-12-2022,NTPC,Largecap,Miscellaneous
19-12-2022,ADANIPORTS,Largecap,Realty
19-12-2022,BAJAJFINSV,Largecap,Finance
20-12-2022,ASHOKLEY,Largecap,Auto
20-12-2022,CANFINHOME,Midcap,Finance
20-12-2022,HAL,Largecap,FMCG
20-12-2022,ZYDUSLIFE,Largecap,Pharmaceuticals
21-12-2022,LUPIN,Largecap,Pharmaceuticals
21-12-2022,SUNPHARMA,Largecap,Pharmaceuticals
21-12-2022,AUROPHARMA,Largecap,Pharmaceuticals
21-12-2022,MANAPPURAM,Midcap,Finance
21-12-2022,METROPOLIS,Midcap,Pharmaceuticals
21-12-2022,GLENMARK,Largecap,Pharmaceuticals
21-12-2022,ZYDUSLIFE,Largecap,Pharmaceuticals
21-12-2022,GRANULES,Midcap,Pharmaceuticals
21-12-2022,BIOCON,Largecap,Pharmaceuticals
21-12-2022,LTIM,Largecap,I.T
22-12-2022,LUPIN,Largecap,Pharmaceuticals
22-12-2022,GODREJCP,Largecap,FMCG
22-12-2022,RECLTD,Largecap,Finance
22-12-2022,JUBLFOOD,Largecap,Quick Service Restaurant
26-12-2022,HDFCBANK,Largecap,Bank
26-12-2022,ICICIGI,Largecap,Services
27-12-2022,JSWSTEEL,Largecap,Metals
27-12-2022,VEDL,Largecap,Industrials
27-12-2022,ONGC,Largecap,Oils
27-12-2022,HINDALCO,Largecap,Metals
27-12-2022,TATASTEEL,Largecap,Metals
27-12-2022,SRF,Largecap,Industrials
27-12-2022,SHRIRAMFIN,Largecap,Finance
27-12-2022,NMDC,Largecap,Industrials
27-12-2022,JINDALSTEL,Largecap,Metals
27-12-2022,TVSMOTOR,Largecap,Auto
27-12-2022,GODREJCP,Largecap,FMCG
27-12-2022,IBULHSGFIN,Midcap,Finance
28-12-2022,CHAMBLFERT,Midcap,Industrials
28-12-2022,TITAN,Largecap,Miscellaneous
28-12-2022,ASHOKLEY,Largecap,Auto
28-12-2022,ASIANPAINT,Largecap,Industrials
28-12-2022,BANKBARODA,Largecap,Bank
28-12-2022,INDUSINDBK,Largecap,Bank
28-12-2022,TVSMOTOR,Largecap,Auto
28-12-2022,GODREJCP,Largecap,FMCG
28-12-2022,CANBK,Largecap,Bank
28-12-2022,PETRONET,Largecap,Industrials
28-12-2022,POWERGRID,Largecap,Miscellaneous
29-12-2022,CHAMBLFERT,Midcap,Industrials
29-12-2022,FEDERALBNK,Largecap,Bank
29-12-2022,ITC,Largecap,FMCG
29-12-2022,WIPRO,Largecap,I.T
29-12-2022,CANBK,Largecap,Bank
29-12-2022,MARUTI,Largecap,Auto
29-12-2022,TCS,Largecap,I.T
30-12-2022,BAJFINANCE,Largecap,Finance
30-12-2022,CHAMBLFERT,Midcap,Industrials
30-12-2022,HINDPETRO,Largecap,Industrials
30-12-2022,TITAN,Largecap,Miscellaneous
30-12-2022,GNFC,Midcap,Industrials
30-12-2022,INDHOTEL,Largecap,Services
30-12-2022,SHRIRAMFIN,Largecap,Finance
30-12-2022,NMDC,Largecap,Industrials
30-12-2022,MANAPPURAM,Midcap,Finance
30-12-2022,BSOFT,Midcap,I.T
30-12-2022,M&MFIN,Largecap,Finance
