date,symbol,marketcapname,sector
20-12-2022,ADANIENT,Largecap,Services
21-12-2022,ZYDUSLIFE,Largecap,Pharmaceuticals
27-12-2022,JSWSTEEL,Largecap,Metals
02-01-2023,ONGC,Largecap,Oils
03-01-2023,AXISBANK,Largecap,Bank
05-01-2023,ZYDUSLIFE,Largecap,Pharmaceuticals
09-01-2023,ZYDUSLIFE,Largecap,Pharmaceuticals
10-01-2023,HCLTECH,Largecap,I.T
11-01-2023,HINDCOPPER,Midcap,Metals
12-01-2023,HCLTECH,Largecap,I.T
13-01-2023,NMDC,Largecap,Industrials
13-01-2023,ULTRACEMCO,Largecap,Industrials
13-01-2023,TCS,Largecap,I.T
16-01-2023,HCLTECH,Largecap,I.T
17-01-2023,HCLTECH,Largecap,I.T
19-01-2023,POLYCAB,Largecap,Industrials
19-01-2023,PERSISTENT,Largecap,I.T
20-01-2023,PERSISTENT,Largecap,I.T
23-01-2023,WIPRO,Largecap,I.T
23-01-2023,IGL,Largecap,Industrials
23-01-2023,PETRONET,Largecap,Industrials
23-01-2023,COFORGE,Largecap,I.T
24-01-2023,CANFINHOME,Midcap,Finance
24-01-2023,INDIAMART,Midcap,I.T
24-01-2023,PETRONET,Largecap,Industrials
27-01-2023,TATAMOTORS,Largecap,Auto
31-01-2023,M&M,Largecap,Auto
31-01-2023,TATAMOTORS,Largecap,Auto
31-01-2023,POLYCAB,Largecap,Industrials
01-02-2023,POLYCAB,Largecap,Industrials
02-02-2023,BRITANNIA,Largecap,FMCG
03-02-2023,BRITANNIA,Largecap,FMCG
03-02-2023,CHOLAFIN,Largecap,Finance
03-02-2023,M&MFIN,Largecap,Finance
06-02-2023,CHOLAFIN,Largecap,Finance
06-02-2023,IDFC,Midcap,Finance
06-02-2023,M&MFIN,Largecap,Finance
09-02-2023,INFY,Largecap,I.T
09-02-2023,TCS,Largecap,I.T
10-02-2023,PEL,Largecap,Finance
10-02-2023,BHARATFORG,Largecap,Industrials
10-02-2023,MPHASIS,Largecap,I.T
