,Stock,Final Capital,Reserves,Score
0,JBCHEPHARM,108824.11809342598,0,-63.251547393431
1,CIPLA,94959.25697799001,0,-720.1061460014286
2,SBIN,94932.766529824,0,-174.7321886267585
3,PGEL,94950.37074248,0,-136.47646641945948
4,RANEHOLDIN,94281.251981784,0,-178.71087556925016
5,WESTLIFE,94933.877074632,0,-1013.2245850736011
6,ICICIBANK,94958.654539115,0,-720.1922086978572
7,BHARTIARTL,94004.45542244699,0,-499.62871479608384
8,APLAPOLLO,114789.80749983,0,308.1209895797917
9,LT,114664.97366603001,0,85.76007991830416
10,BLUESTARCO,114819.87765480249,0,423.4250758514997
11,SUNDRMFAST,114892.03399335501,0,111.9701804011655
12,BRITANNIA,114907.25690683999,0,346.6803931823253
13,M&M,94932.427879191,0,-211.14883836704155
14,BHARATFORG,94940.1045250215,0,-361.4211053556073
15,APOLLOTYRE,94935.598023717,0,-202.57607905131988
16,ZYDUSLIFE,132006.12127991748,0,694.3590204784923
17,ULTRACEMCO,114071.33783353001,0,112.57070266824
18,CARBORUNIV,94930.100638902,0,-220.4304070042608
19,MGL,114897.03815265,0,215.8991036615942
20,AEGISCHEM,93712.73083059101,0,-71.4462405614658
21,KEI,94938.1701558,0,-460.16634947272723
22,CCL,114877.03547996,0,156.60037347326318
23,AIAENG,95018.638866,0,-415.11342783333333
24,GODREJCP,114858.37601066,0,165.09306678511112
25,DRREDDY,114306.14987798249,0,144.50656442406552
26,NH,114888.43580032,0,297.7687160064
27,ALKEM,114615.94262881001,0,150.679820915567
28,POLYMED,114906.68274618,0,266.1907633246429
29,HDFCBANK,94920.66589867699,0,-169.31113671076676
30,ABB,114529.20042054,0,968.6133613693333
31,SIEMENS,114437.95148256749,0,902.3719676604677
32,TEGA,94927.598736203,0,-1014.4802527593995
33,CUMMINSIND,114852.3792126,0,594.0951685040001
34,COLPAL,114726.73272590751,0,320.146363606685
35,KIRLOSENG,94936.94804508,0,-230.13872522363624
36,MARICO,94922.532563924,0,-241.78416362266685
37,KAJARIACER,114865.07022597002,0,1651.6744695522245
38,MHRIL,114912.654605835,0,1656.9616228705554
39,AUBANK,94919.79358009601,0,-461.8369472639995
40,KPRMILL,94934.5546103345,0,-361.8175278332505
